"ID","OWNERID","ISDELETED","NAME","CREATEDDATE","CREATEDBYID","LASTMODIFIEDDATE","LASTMODIFIEDBYID","SYSTEMMODSTAMP","LASTVIEWEDDATE","LASTREFERENCEDDATE","QUESTION__C","ASSESSOR__C","COMPETENCY__C","ACTIVE__C","SUB_AREA__C","STATUS"
"a0C210000009Z19EAE","0051a000001M4IpAAK","false","Q-0042","2016-05-16T12:25:21.000Z","0051a000001M4IpAAK","2016-05-16T12:25:21.000Z","0051a000001M4IpAAK","2016-05-16T12:25:21.000Z","","","Interviewers own question","Key Challenger","Socio Economic","true","Other","Item Created"
"a0C210000009Z1AEAU","0051a000001M4IpAAK","false","Q-0039","2016-05-16T12:07:45.000Z","0051a000001M4IpAAK","2016-05-16T12:07:45.000Z","0051a000001M4IpAAK","2016-05-16T12:07:45.000Z","","","Tell me about a time when you envisioned a unique idea or built on the idea of another and took action to turn your vision into reality <in function> or in general","Key Challenger","Functional Challenge","true","Option 4","Item Created"
"a0C210000009Z1BEAU","0051a000001M4IpAAK","false","Q-0041","2016-05-16T12:25:04.000Z","0051a000001M4IpAAK","2016-05-16T12:25:04.000Z","0051a000001M4IpAAK","2016-05-16T12:25:04.000Z","","","Interviewers own question","Key Challenger","Functional Challenge","true","Other","Item Created"
"a0C210000009Z1CEAU","0051a000001M4IpAAK","false","Q-0044","2016-05-16T12:25:53.000Z","0051a000001M4IpAAK","2016-05-16T12:25:53.000Z","0051a000001M4IpAAK","2016-05-16T12:25:53.000Z","","","Interviewers own question","Key Challenger","Industry Knowledge","true","Other","Item Created"
"a0C210000009Z1DEAU","0051a000001M4IpAAK","false","Q-0028","2016-05-16T12:03:19.000Z","0051a000001M4IpAAK","2016-05-16T12:03:19.000Z","0051a000001M4IpAAK","2016-05-16T12:03:19.000Z","","","How would you attract more women/millennials/GEN Y to drink beer?","Key Challenger","Industry Knowledge","true","Option 3","Item Created"
"a0C210000009Z1EEAU","0051a000001M4IpAAK","false","Q-0025","2016-05-16T12:02:18.000Z","0051a000001M4IpAAK","2016-05-16T12:02:18.000Z","0051a000001M4IpAAK","2016-05-16T12:02:18.000Z","","","In 2 minutes, tell me about your background and experience.","Key Challenger","Introduction","true","Lead","Item Created"
"a0C210000009Z1FEAU","0051a000001M4IpAAK","false","Q-0031","2016-05-16T12:04:31.000Z","0051a000001M4IpAAK","2016-05-16T12:04:31.000Z","0051a000001M4IpAAK","2016-05-16T12:04:31.000Z","","","Give insight on a current macroeconomic issue that is happening in a country (i.e. exchange control)?","Key Challenger","Socio Economic","true","Option 1","Item Created"
"a0C210000009Z1GEAU","0051a000001M4IpAAK","false","Q-0043","2016-05-16T12:25:36.000Z","0051a000001M4IpAAK","2016-05-16T12:25:36.000Z","0051a000001M4IpAAK","2016-05-16T12:25:36.000Z","","","Interviewers own question","Key Challenger","Connecting The Dots","true","Other","Item Created"
"a0C210000009Z1HEAU","0051a000001M4IpAAK","false","Q-0030","2016-05-16T12:04:09.000Z","0051a000001M4IpAAK","2016-05-16T12:04:09.000Z","0051a000001M4IpAAK","2016-05-16T12:04:09.000Z","","","How do you believe ABI can play in the Craft/Micro realm?","Key Challenger","Industry Knowledge","true","Option 5","Item Created"
"a0C210000009Z1IEAU","0051a000001M4IpAAK","false","Q-0026","2016-05-16T12:02:40.000Z","0051a000001M4IpAAK","2016-05-16T12:02:40.000Z","0051a000001M4IpAAK","2016-05-16T12:02:40.000Z","","","What is the next big/untapped opportunity for ABI?","Key Challenger","Industry Knowledge","true","Option 1","Item Created"
"a0C210000009Z1JEAU","0051a000001M4IpAAK","false","Q-0029","2016-05-16T12:03:42.000Z","0051a000001M4IpAAK","2016-05-16T12:03:42.000Z","0051a000001M4IpAAK","2016-05-16T12:03:42.000Z","","","Imagine that you had to open a new pub for ABI in New York, how would you go about doing this?","Key Challenger","Industry Knowledge","true","Option 4","Item Created"
"a0C210000009Z1KEAU","0051a000001M4IpAAK","false","Q-0038","2016-05-16T12:07:19.000Z","0051a000001M4IpAAK","2016-05-16T12:07:19.000Z","0051a000001M4IpAAK","2016-05-16T12:07:19.000Z","","","Imagine you are on our Sales team and you go to a bar and you have to convince the bar tender to take away a few bottles to mount some of our new brands. What would you say? How would you convince the bartender to give up prime space for our brands?","Key Challenger","Functional Challenge","true","Option 3","Item Created"
"a0C210000009Z1LEAU","0051a000001M4IpAAK","false","Q-0027","2016-05-16T12:03:00.000Z","0051a000001M4IpAAK","2016-05-16T12:03:00.000Z","0051a000001M4IpAAK","2016-05-16T12:03:00.000Z","","","What should ABI be doing differently?","Key Challenger","Industry Knowledge","true","Option 2","Item Created"
"a0C210000009Z1MEAU","0051a000001M4IpAAK","false","Q-0036","2016-05-16T12:06:29.000Z","0051a000001M4IpAAK","2016-05-16T12:06:29.000Z","0051a000001M4IpAAK","2016-05-16T12:06:30.000Z","","","What is a brand outside of ABI that you admire? Why?","Key Challenger","Functional Challenge","true","Option 1","Item Created"
"a0C210000009Z1NEAU","0051a000001M4IpAAK","false","Q-0033","2016-05-16T12:05:16.000Z","0051a000001M4IpAAK","2016-05-16T12:05:16.000Z","0051a000001M4IpAAK","2016-05-16T12:05:16.000Z","","","If money didn't exist (or you didn't need it) what would you do with your life?","Key Challenger","Socio Economic","true","Option 3","Item Created"
"a0C210000009Z1OEAU","0051a000001M4IpAAK","false","Q-0037","2016-05-16T12:06:48.000Z","0051a000001M4IpAAK","2016-05-16T12:06:48.000Z","0051a000001M4IpAAK","2016-05-16T12:06:48.000Z","","","Imagine there was a company who just went through a very public crisis and they lost market share. What would you do to regain market share? How would you gain the consumer’s trust again?","Key Challenger","Functional Challenge","true","Option 2","Item Created"
"a0C210000009Z1PEAU","0051a000001M4IpAAK","false","Q-0078","2016-05-18T07:19:17.000Z","0051a000001M4IpAAK","2016-05-18T07:19:17.000Z","0051a000001M4IpAAK","2016-05-18T07:19:17.000Z","","","What can you bring from your previous company as a best practice?","EBM","Live Our Culture","true","Option 2","Item Created"
"a0C210000009Z1QEAU","0051a000001M4IpAAK","false","Q-0035","2016-05-16T12:06:09.000Z","0051a000001M4IpAAK","2016-05-16T12:06:09.000Z","0051a000001M4IpAAK","2016-05-16T12:06:09.000Z","","","What is a best practice that you could take from your current company?","Key Challenger","Connecting The Dots","true","Option 2","Item Created"
"a0C210000009Z1REAU","0051a000001M4IpAAK","false","Q-0034","2016-05-16T12:05:40.000Z","0051a000001M4IpAAK","2016-05-16T12:05:40.000Z","0051a000001M4IpAAK","2016-05-16T12:05:40.000Z","","","Assuming money is not an issue, what is the next big opportunity for your current employer?","Key Challenger","Connecting The Dots","true","Option 1","Item Created"
"a0C210000009Z1SEAU","0051a000001M4IpAAK","false","Q-0032","2016-05-16T12:04:48.000Z","0051a000001M4IpAAK","2016-05-16T12:04:48.000Z","0051a000001M4IpAAK","2016-05-16T12:04:48.000Z","","","If I gave you $1MM today, what would you invest in to make sure you could repay me in 3 years? (It cannot be real estate or stock)","Key Challenger","Socio Economic","true","Option 2","Item Created"
"a0C210000009Z1TEAU","0051a000001M4IpAAK","false","Q-0040","2016-05-16T12:08:11.000Z","0051a000001M4IpAAK","2016-05-16T12:08:11.000Z","0051a000001M4IpAAK","2016-05-16T12:08:11.000Z","","","Can you tell me about a situation, which you tried to solve a problem with ideas and methods that had not been tried before <in function>?","Key Challenger","Functional Challenge","true","Option 5","Item Created"
"a0C210000009Z1UEAU","0051a000001M4IpAAK","false","Q-0019","2016-05-13T11:50:36.000Z","0051a000001M4IpAAK","2016-05-13T11:50:36.000Z","0051a000001M4IpAAK","2016-05-13T11:50:36.000Z","","","What is your biggest failure or biggest mistake you've ever made?","Hiring Manager","Functional Achievements","true","Lead","Item Created"
"a0C210000009Z1VEAU","0051a000001M4IpAAK","false","Q-0022","2016-05-13T11:51:25.000Z","0051a000001M4IpAAK","2016-05-13T11:51:25.000Z","0051a000001M4IpAAK","2016-05-13T11:51:25.000Z","","","Why do you believe that you have the correct fit for the role?","Hiring Manager","Functional Achievements","true","Option 2","Item Created"
"a0C210000009Z1WEAU","0051a000001M4IpAAK","false","Q-0017","2016-05-13T10:51:02.000Z","0051a000001M4IpAAK","2016-05-13T10:51:02.000Z","0051a000001M4IpAAK","2016-05-13T10:51:02.000Z","","","Tell me about your experience in <hiring function>.","Hiring Manager","Introduction","true","Lead","Item Created"
"a0C210000009Z1XEAU","0051a000001M4IpAAK","false","Q-0018","2016-05-13T11:50:17.000Z","0051a000001M4IpAAK","2016-05-13T11:50:17.000Z","0051a000001M4IpAAK","2016-05-13T11:50:17.000Z","","","What is your key achievement during your time within <hiring function>?","Hiring Manager","Functional Achievements","true","Lead","Item Created"
"a0C210000009Z1YEAU","0051a000001M4IpAAK","false","Q-0020","2016-05-13T11:50:55.000Z","0051a000001M4IpAAK","2016-05-13T11:50:55.000Z","0051a000001M4IpAAK","2016-05-13T11:50:55.000Z","","","What is the most innovative idea that you have implemented?","Hiring Manager","Functional Achievements","true","Lead","Item Created"
"a0C210000009Z1ZEAU","0051a000001M4IpAAK","false","Q-0076","2016-05-18T07:18:36.000Z","0051a000001M4IpAAK","2016-05-18T07:18:36.000Z","0051a000001M4IpAAK","2016-05-18T07:18:36.000Z","","","What excites you most about this opportunity/role?","EBM","Develop People","true","Option 2","Item Created"
"a0C210000009Z1aEAE","0051a000001M4IpAAK","false","Q-0074","2016-05-18T07:18:03.000Z","0051a000001M4IpAAK","2016-05-18T07:18:03.000Z","0051a000001M4IpAAK","2016-05-18T07:18:03.000Z","","","What do you see as the biggest opportunity for ABI (geographically or product)?","EBM","Dream Big","true","Option 2","Item Created"
"a0C210000009Z1bEAE","0051a000001M4IpAAK","false","Q-0072","2016-05-18T07:17:35.000Z","0051a000001M4IpAAK","2016-05-18T07:17:35.000Z","0051a000001M4IpAAK","2016-05-18T07:17:35.000Z","","","Why AB-InBev?","EBM","Introduction","true","Lead","Item Created"
"a0C210000009Z1cEAE","0051a000001M4IpAAK","false","Q-0075","2016-05-18T07:18:18.000Z","0051a000001M4IpAAK","2016-05-18T07:18:18.000Z","0051a000001M4IpAAK","2016-05-18T07:18:18.000Z","","","What is a company outside of ABI that you would want to work for?","EBM","Develop People","true","Option 1","Item Created"
"a0C210000009Z1dEAE","0051a000001M4IpAAK","false","Q-0077","2016-05-18T07:18:57.000Z","0051a000001M4IpAAK","2016-05-18T07:18:57.000Z","0051a000001M4IpAAK","2016-05-18T07:18:57.000Z","","","What is a brand outside of ABI that you admire?","EBM","Live Our Culture","true","Option 1","Item Created"
"a0C210000009Z1eEAE","0051a000001M4IpAAK","false","Q-0061","2016-05-17T07:25:00.000Z","0051a000001M4IpAAK","2016-05-17T07:25:00.000Z","0051a000001M4IpAAK","2016-05-17T07:25:00.000Z","","","Tell me about a time when you had to work with difficult team members. How did you manage the situation?","Cultural Bar Raiser","Develop People","true","Option 3","Item Created"
"a0C210000009Z1fEAE","0051a000001M4IpAAK","false","Q-0054","2016-05-17T07:22:39.000Z","0051a000001M4IpAAK","2016-05-17T07:22:39.000Z","0051a000001M4IpAAK","2016-05-17T07:22:39.000Z","","","Tell me something about yourself that is not on your resume","Cultural Bar Raiser","Introduction","true","Lead","Item Created"
"a0C210000009Z1gEAE","0051a000001M4IpAAK","false","Q-0058","2016-05-17T07:24:06.000Z","0051a000001M4IpAAK","2016-05-17T07:24:06.000Z","0051a000001M4IpAAK","2016-05-17T07:24:06.000Z","","","Tell me about a time when you went above and beyond expectations.","Cultural Bar Raiser","Dream Big","true","Option 4","Item Created"
"a0C210000009Z1hEAE","0051a000001M4IpAAK","false","Q-0047","2016-05-17T07:11:33.000Z","0051a000001M4IpAAK","2016-05-17T07:11:33.000Z","0051a000001M4IpAAK","2016-05-17T07:11:33.000Z","","","What is your career goal? Where do you see yourself in 20 years?","Head of Function","Dream Big","true","Option 2","Item Created"
"a0C210000009Z1iEAE","0051a000001M4IpAAK","false","Q-0055","2016-05-17T07:22:59.000Z","0051a000001M4IpAAK","2016-05-17T07:22:59.000Z","0051a000001M4IpAAK","2016-05-17T07:22:59.000Z","","","What’s the most stretch goal you have ever set for yourself?","Cultural Bar Raiser","Dream Big","true","Option 1","Item Created"
"a0C210000009Z1jEAE","0051a000001M4IpAAK","false","Q-0050","2016-05-17T07:12:38.000Z","0051a000001M4IpAAK","2016-05-17T07:12:38.000Z","0051a000001M4IpAAK","2016-05-17T07:12:38.000Z","","","Describe a major project you led which impacted several other departments or groups within the organization.","Head of Function","Develop People","true","Option 2","Item Created"
"a0C210000009Z1kEAE","0051a000001M4IpAAK","false","Q-0066","2016-05-17T07:26:57.000Z","0051a000001M4IpAAK","2016-05-17T07:26:57.000Z","0051a000001M4IpAAK","2016-05-17T07:26:57.000Z","","","What has been your biggest failure or mistake?","Cultural Bar Raiser","Live Our Culture","true","Option 3","Item Created"
"a0C210000009Z1lEAE","0051a000001M4IpAAK","false","Q-0060","2016-05-17T07:24:38.000Z","0051a000001M4IpAAK","2016-05-17T07:24:38.000Z","0051a000001M4IpAAK","2016-05-17T07:24:38.000Z","","","Give an example of a time when you successfully developed someone on your team.","Cultural Bar Raiser","Develop People","true","Option 2","Item Created"
"a0C210000009Z1mEAE","0051a000001M4IpAAK","false","Q-0045","2016-05-17T07:10:40.000Z","0051a000001M4IpAAK","2016-05-17T07:10:40.000Z","0051a000001M4IpAAK","2016-05-17T07:10:40.000Z","","","In 2 minutes, walk me through your resume.","Head of Function","Introduction","true","Lead","Item Created"
"a0C210000009Z1nEAE","0051a000001M4IpAAK","false","Q-0051","2016-05-17T07:12:59.000Z","0051a000001M4IpAAK","2016-05-17T07:12:59.000Z","0051a000001M4IpAAK","2016-05-17T07:12:59.000Z","","","Tell me about a time when it was particularly important for you to build a strong relationship with an internal or external customer.","Head of Function","Develop People","true","Option 3","Item Created"
"a0C210000009Z1oEAE","0051a000001M4IpAAK","false","Q-0063","2016-05-17T07:25:33.000Z","0051a000001M4IpAAK","2016-05-17T07:25:33.000Z","0051a000001M4IpAAK","2016-05-17T07:25:33.000Z","","","What was the toughest feedback that you have ever received?","Cultural Bar Raiser","Develop People","true","Option 5","Item Created"
"a0C210000009Z1pEAE","0051a000001M4IpAAK","false","Q-0056","2016-05-17T07:23:18.000Z","0051a000001M4IpAAK","2016-05-17T07:23:18.000Z","0051a000001M4IpAAK","2016-05-17T07:23:18.000Z","","","What is the one achievement that you are most proud of?","Cultural Bar Raiser","Dream Big","true","Option 2","Item Created"
"a0C210000009Z1qEAE","0051a000001M4IpAAK","false","Q-0062","2016-05-17T07:25:18.000Z","0051a000001M4IpAAK","2016-05-17T07:25:18.000Z","0051a000001M4IpAAK","2016-05-17T07:25:18.000Z","","","Tell me about a time you had to give difficult feedback.","Cultural Bar Raiser","Develop People","true","Option 4","Item Created"
"a0C210000009Z1rEAE","0051a000001M4IpAAK","false","Q-0046","2016-05-17T07:11:16.000Z","0051a000001M4IpAAK","2016-05-17T07:11:16.000Z","0051a000001M4IpAAK","2016-05-17T07:11:16.000Z","","","What is your biggest achievement to date?","Head of Function","Dream Big","true","Option 1","Item Created"
"a0C210000009Z1sEAE","0051a000001M4IpAAK","false","Q-0048","2016-05-17T07:11:54.000Z","0051a000001M4IpAAK","2016-05-17T07:11:54.000Z","0051a000001M4IpAAK","2016-05-17T07:11:54.000Z","","","Tell me about a time you created a strategic plan for a business unit or team.","Head of Function","Dream Big","true","Option 3","Item Created"
"a0C210000009Z1tEAE","0051a000001M4IpAAK","false","Q-0049","2016-05-17T07:12:10.000Z","0051a000001M4IpAAK","2016-05-17T07:12:10.000Z","0051a000001M4IpAAK","2016-05-17T07:12:10.000Z","","","What’s your proudest leadership moment? Can you give a specific example","Head of Function","Develop People","true","Option 1","Item Created"
"a0C210000009Z1uEAE","0051a000001M4IpAAK","false","Q-0053","2016-05-17T07:15:46.000Z","0051a000001M4IpAAK","2016-05-17T07:15:46.000Z","0051a000001M4IpAAK","2016-05-17T07:15:46.000Z","","","Tell me something about yourself (personal or professional) that isn’t written on your resume","Head of Function","Insights","true","Option 1","Item Created"
"a0C210000009Z1vEAE","0051a000001M4IpAAK","false","Q-0059","2016-05-17T07:24:22.000Z","0051a000001M4IpAAK","2016-05-17T07:24:22.000Z","0051a000001M4IpAAK","2016-05-17T07:24:22.000Z","","","What is an example when you convinced someone more senior to implement your idea which they didn’t originally agree with?","Cultural Bar Raiser","Develop People","true","Option 1","Item Created"
"a0C210000009Z1wEAE","0051a000001M4IpAAK","false","Q-0064","2016-05-17T07:25:51.000Z","0051a000001M4IpAAK","2016-05-17T07:25:51.000Z","0051a000001M4IpAAK","2016-05-17T07:25:51.000Z","","","What was the biggest risk you have ever taken?","Cultural Bar Raiser","Live Our Culture","true","Option 1","Item Created"
"a0C210000009Z1xEAE","0051a000001M4IpAAK","false","Q-0067","2016-05-17T07:27:16.000Z","0051a000001M4IpAAK","2016-05-17T07:27:16.000Z","0051a000001M4IpAAK","2016-05-17T07:27:16.000Z","","","Please describe how you successfully delivered a project on very tight deadline.","Cultural Bar Raiser","Live Our Culture","true","Option 4","Item Created"
"a0C210000009Z1yEAE","0051a000001M4IpAAK","false","Q-0052","2016-05-17T07:13:14.000Z","0051a000001M4IpAAK","2016-05-17T07:13:14.000Z","0051a000001M4IpAAK","2016-05-17T07:13:14.000Z","","","Describe a tough challenge, goal or obstacle that you overcame - can be personal or professional","Head of Function","Live Our Culture","true","Option 1","Item Created"
"a0C210000009Z1zEAE","0051a000001M4IpAAK","false","Q-0057","2016-05-17T07:23:47.000Z","0051a000001M4IpAAK","2016-05-17T07:23:47.000Z","0051a000001M4IpAAK","2016-05-17T07:23:47.000Z","","","What is the most innovative idea or process that you have ever identified?","Cultural Bar Raiser","Dream Big","true","Option 3","Item Created"
"a0C210000009Z20EAE","0051a000001M4IpAAK","false","Q-0065","2016-05-17T07:26:19.000Z","0051a000001M4IpAAK","2016-05-17T07:26:19.000Z","0051a000001M4IpAAK","2016-05-17T07:26:19.000Z","","","What was a time that you felt very much out of your comfort zone?","Cultural Bar Raiser","Live Our Culture","true","Option 2","Item Created"
"a0C210000009Z21EAE","0051a000001M4IpAAK","false","Q-0083","2016-06-06T07:20:44.000Z","0051a000001M4IpAAK","2016-06-06T07:20:44.000Z","0051a000001M4IpAAK","2016-06-06T07:20:44.000Z","","","Interviewers own question","Cultural Bar Raiser","Dream Big","true","Other","Item Created"
"a0C210000009Z22EAE","0051a000001M4IpAAK","false","Q-0087","2016-06-06T07:24:00.000Z","0051a000001M4IpAAK","2016-06-06T07:24:00.000Z","0051a000001M4IpAAK","2016-06-06T07:24:00.000Z","","","Interviewers own question","Head of Function","Develop People","true","Other","Item Created"
"a0C210000009Z23EAE","0051a000001M4IpAAK","false","Q-0079","2016-06-06T07:17:10.000Z","0051a000001M4IpAAK","2016-06-06T07:17:10.000Z","0051a000001M4IpAAK","2016-06-06T07:17:10.000Z","","","Interviewers own question","EBM","Dream Big","true","Other","Item Created"
"a0C210000009Z24EAE","0051a000001M4IpAAK","false","Q-0084","2016-06-06T07:21:20.000Z","0051a000001M4IpAAK","2016-06-06T07:21:20.000Z","0051a000001M4IpAAK","2016-06-06T07:21:20.000Z","","","Interviewers own question","Cultural Bar Raiser","Develop People","true","Other","Item Created"
"a0C210000009Z25EAE","0051a000001M4IpAAK","false","Q-0086","2016-06-06T07:23:32.000Z","0051a000001M4IpAAK","2016-06-06T07:23:32.000Z","0051a000001M4IpAAK","2016-06-06T07:23:32.000Z","","","Interviewers own question","Head of Function","Dream Big","true","Other","Item Created"
"a0C210000009Z26EAE","0051a000001M4IpAAK","false","Q-0085","2016-06-06T07:21:57.000Z","0051a000001M4IpAAK","2016-06-06T07:21:57.000Z","0051a000001M4IpAAK","2016-06-06T07:21:57.000Z","","","Interviewers own question","Cultural Bar Raiser","Live Our Culture","true","Other","Item Created"
"a0C210000009Z27EAE","0051a000001M4IpAAK","false","Q-0082","2016-06-06T07:19:10.000Z","0051a000001M4IpAAK","2016-06-06T07:19:10.000Z","0051a000001M4IpAAK","2016-06-06T07:19:10.000Z","","","Interviewers own question","Hiring Manager","Functional Achievements","true","Other","Item Created"
"a0C210000009Z28EAE","0051a000001M4IpAAK","false","Q-0081","2016-06-06T07:17:57.000Z","0051a000001M4IpAAK","2016-06-06T07:17:57.000Z","0051a000001M4IpAAK","2016-06-06T07:17:57.000Z","","","Interviewers own question","EBM","Live Our Culture","true","Other","Item Created"
"a0C210000009Z29EAE","0051a000001M4IpAAK","false","Q-0088","2016-06-06T07:25:02.000Z","0051a000001M4IpAAK","2016-06-06T07:25:02.000Z","0051a000001M4IpAAK","2016-06-06T07:25:02.000Z","","","Interviewers own question","Head of Function","Live Our Culture","true","Other","Item Created"
"a0C210000009Z2AEAU","0051a000001M4IpAAK","false","Q-0080","2016-06-06T07:17:35.000Z","0051a000001M4IpAAK","2016-06-06T07:17:35.000Z","0051a000001M4IpAAK","2016-06-06T07:17:35.000Z","","","Interviewers own question","EBM","Develop People","true","Other","Item Created"
